student_id,adherence%,basic_adherence%,smart_duration,intervals,total_duration
756,5.520653218059557,5.520653218059557,277,0,507
757,56.599150389582675,80.76390223076102,6209,21,8672
758,70.24898601771802,71.75819190948874,5027,20,7449
759,94.66058859488254,99.52332159248586,12774,165,16611
775,20.72624613085708,23.29971181556196,1409,7,2010
787,65.6054231071522,90.29122638488633,9488,104,13920
795,54.24159462055715,58.26310171843313,12159,71,14766
853,81.4984576795816,86.88611377948554,6299,27,7502
859,88.69173192055037,89.27137367915466,19474,109,22122
863,0.0,0.0,0,1,0
867,56.30595581171951,56.30595581171951,2967,8,3826
882,26.318251681075886,29.939961575408265,1594,2,2118
914,56.14510175401145,63.171096168214326,3757,3,5214
915,8.944070872024762,8.944070872024762,568,1,761
916,24.01902550965951,24.313213790159036,1471,1,2728
917,82.0402900280422,87.84021773935319,8314,73,9806
918,0.031006510833600173,0.031006510833600173,32,1,39
922,75.3443406204213,85.65967552566975,7187,71,7708
923,77.33926488710351,84.5995837335895,6720,4,7840
925,22.098489700074715,23.616874799871923,1494,11,1879
927,24.171723236204507,24.417440495250293,2028,0,2538
928,24.207492795389047,24.207492795389047,2851,32,3056
929,32.08120397054115,36.33925712455972,2875,0,3258
930,30.4353186039065,32.92293734656847,3065,2,3583
1027,69.56633404166546,76.4014302486925,6899,29,8516
1033,41.371202903191374,41.81769665919522,4332,32,7283
1057,63.696386535867795,71.53564948233537,9271,8,13831
1081,28.09115167040239,28.09115167040239,5899,23,7903
1087,33.38456612231828,33.75600384245917,2623,27,2916
1088,13.511554061265876,26.85126480947807,2083,19,2330
1111,51.41929234710214,56.66319777991248,10293,1,11768
1144,1.0025189454584267,1.1468673284235245,51,1,420
1203,24.127697726544987,28.26374212829544,2958,50,4018
1204,28.00067243035543,28.749759846301632,3559,48,4440
1205,8.528658341338456,8.528658341338456,691,2,1373
1229,19.790746077489594,19.790746077489594,2630,3,5059
1230,44.39355999961187,54.82346034795602,5737,64,9026
1231,35.312306542854095,35.312306542854095,1592,0,1906
1232,36.29442843419788,36.29442843419788,2880,1,3804
1233,21.927057316682674,27.734390009606148,1542,0,2306
1234,21.01008645533141,29.159782260646818,1568,1,1962
1266,2.7939481268011526,2.7939481268011526,125,0,176
1314,8.5473992243925,10.470487778845127,593,8,970
1315,26.604707012487992,26.604707012487992,1377,0,1416
1337,35.183541466538585,37.91450528338137,4189,1,7497
1412,2.1895079517557905,2.1895079517557905,120,1,155
1413,4.343152951222116,4.343152951222116,216,1,351
1607,20.66928167360444,20.66928167360444,1598,31,1750
1688,11.691589283808304,11.310331945778632,593,0,1244
1706,13.256484149855908,13.256484149855908,1726,26,2167
1714,5.187319884726225,4.805635606788345,278,1,339
1724,7.23609776923898,7.23609776923898,375,1,560
1747,0.8407620877361512,1.3854200021346996,93,0,144
1750,1.1527377521613833,1.1527377521613833,90,1,102
