week_number,week_start_date,week_end_date,days_in_week,goal_minutes,week_adherence,basic_week_adherence,smart_duration_sum,student_id
1,2024-01-01,2024-01-07 00:00:00.000000,7,0,0.0,0.0,0.0,756
2,2024-01-08,2024-01-14 00:00:00.000000,7,90,40.166666666666664,40.166666666666664,36.15,756
3,2024-01-15,2024-01-21 00:00:00.000000,7,90,46.27777777777778,46.27777777777778,41.65,756
4,2024-01-22,2024-01-28 00:00:00.000000,7,90,0.0,0.0,0.0,756
5,2024-01-29,2024-02-04 00:00:00.000000,7,90,11.444444444444445,11.444444444444445,10.3,756
6,2024-02-05,2024-02-11 00:00:00.000000,7,90,23.38888888888889,23.38888888888889,21.05,756
7,2024-02-12,2024-02-18 00:00:00.000000,7,90,11.185185185185185,11.185185185185185,10.066666666666666,756
8,2024-02-19,2024-02-25 00:00:00.000000,7,90,22.5,22.5,20.25,756
9,2024-02-26,2024-03-03 00:00:00.000000,7,90,34.09259259259259,34.09259259259259,30.683333333333334,756
10,2024-03-04,2024-03-10 00:00:00.000000,7,90,11.166666666666668,11.166666666666668,10.05,756
11,2024-03-11,2024-03-17 00:00:00.000000,7,0,0.0,0.0,0.0,756
12,2024-03-18,2024-03-24 00:00:00.000000,7,0,0.0,0.0,0.0,756
13,2024-03-25,2024-03-31 00:00:00.000000,7,0,0.0,0.0,0.0,756
14,2024-04-01,2024-04-07 00:00:00.000000,7,90,59.07407407407407,59.07407407407407,53.166666666666664,756
15,2024-04-08,2024-04-14 00:00:00.000000,7,90,14.37037037037037,14.37037037037037,12.933333333333334,756
16,2024-04-15,2024-04-21 00:00:00.000000,7,90,0.0,0.0,0.0,756
17,2024-04-22,2024-04-28 00:00:00.000000,7,0,0.0,0.0,0.0,756
18,2024-04-29,2024-05-05 00:00:00.000000,7,0,0.0,0.0,0.0,756
19,2024-05-06,2024-05-12 00:00:00.000000,7,0,0.0,0.0,0.0,756
20,2024-05-13,2024-05-19 00:00:00.000000,7,0,0.0,0.0,0.0,756
21,2024-05-20,2024-05-26 00:00:00.000000,7,0,0.0,0.0,0.0,756
22,2024-05-27,2024-06-02 00:00:00.000000,7,0,0.0,0.0,0.0,756
23,2024-06-03,2024-06-09 00:00:00.000000,7,0,0.0,0.0,0.0,756
24,2024-06-10,2024-06-16 00:00:00.000000,7,0,0.0,0.0,0.0,756
25,2024-06-17,2024-06-23 00:00:00.000000,7,0,0.0,0.0,0.0,756
26,2024-06-24,2024-06-30 00:00:00.000000,7,0,0.0,0.0,0.0,756
27,2024-07-01,2024-07-07 00:00:00.000000,7,0,0.0,0.0,0.0,756
28,2024-07-08,2024-07-14 00:00:00.000000,7,0,0.0,0.0,0.0,756
29,2024-07-15,2024-07-21 00:00:00.000000,7,0,0.0,0.0,0.0,756
30,2024-07-22,2024-07-28 00:00:00.000000,7,0,0.0,0.0,0.0,756
31,2024-07-29,2024-08-04 00:00:00.000000,7,0,0.0,0.0,0.0,756
32,2024-08-05,2024-08-11 00:00:00.000000,7,0,0.0,0.0,0.0,756
33,2024-08-12,2024-08-18 00:00:00.000000,7,0,0.0,0.0,0.0,756
34,2024-08-19,2024-08-25 00:00:00.000000,7,0,0.0,0.0,0.0,756
35,2024-08-26,2024-09-01 00:00:00.000000,7,0,0.0,0.0,0.0,756
36,2024-09-02,2024-09-08 00:00:00.000000,7,0,0.0,0.0,0.0,756
37,2024-09-09,2024-09-15 00:00:00.000000,7,0,0.0,0.0,0.0,756
38,2024-09-16,2024-09-22 00:00:00.000000,7,0,0.0,0.0,0.0,756
39,2024-09-23,2024-09-29 00:00:00.000000,7,0,0.0,0.0,0.0,756
40,2024-09-30,2024-10-06 00:00:00.000000,7,0,0.0,0.0,0.0,756
41,2024-10-07,2024-10-13 00:00:00.000000,7,0,0.0,0.0,0.0,756
42,2024-10-14,2024-10-20 00:00:00.000000,7,0,0.0,0.0,0.0,756
43,2024-10-21,2024-10-27 00:00:00.000000,7,0,0.0,0.0,0.0,756
44,2024-10-28,2024-11-03 00:00:00.000000,7,0,0.0,0.0,0.0,756
45,2024-11-04,2024-11-10 00:00:00.000000,7,0,0.0,0.0,0.0,756
46,2024-11-11,2024-11-17 00:00:00.000000,7,0,0.0,0.0,0.0,756
47,2024-11-18,2024-11-24 00:00:00.000000,7,0,0.0,0.0,0.0,756
48,2024-11-25,2024-12-01 00:00:00.000000,7,0,0.0,0.0,0.0,756
49,2024-12-02,2024-12-08 00:00:00.000000,7,0,0.0,0.0,0.0,756
50,2024-12-09,2024-12-12 14:30:26.155378,4,0,0.0,0.0,0.0,756
1,2024-01-01,2024-01-07 00:00:00.000000,7,90,100.0,100.0,183.36666666666667,757
2,2024-01-08,2024-01-14 00:00:00.000000,7,90,100.0,100.0,143.61666666666667,757
3,2024-01-15,2024-01-21 00:00:00.000000,7,90,100.0,100.0,122.43333333333334,757
4,2024-01-22,2024-01-28 00:00:00.000000,7,90,64.0925925925926,64.0925925925926,57.68333333333333,757
5,2024-01-29,2024-02-04 00:00:00.000000,7,90,89.27777777777777,89.27777777777777,80.35,757
6,2024-02-05,2024-02-11 00:00:00.000000,7,90,100.0,100.0,213.66666666666666,757
7,2024-02-12,2024-02-18 00:00:00.000000,7,90,100.0,100.0,140.9,757
8,2024-02-19,2024-02-25 00:00:00.000000,7,90,100.0,100.0,123.45,757
9,2024-02-26,2024-03-03 00:00:00.000000,7,90,100.0,100.0,151.48333333333332,757
10,2024-03-04,2024-03-10 00:00:00.000000,7,90,24.833333333333336,24.833333333333336,22.35,757
11,2024-03-11,2024-03-17 00:00:00.000000,7,90,100.0,100.0,123.0,757
12,2024-03-18,2024-03-24 00:00:00.000000,7,90,100.0,100.0,95.38333333333334,757
13,2024-03-25,2024-03-31 00:00:00.000000,7,90,100.0,100.0,110.03333333333333,757
14,2024-04-01,2024-04-07 00:00:00.000000,7,90,96.2037037037037,96.2037037037037,86.58333333333333,757
15,2024-04-08,2024-04-14 00:00:00.000000,7,90,100.0,100.0,120.06666666666666,757
16,2024-04-15,2024-04-21 00:00:00.000000,7,90,100.0,100.0,228.01666666666668,757
17,2024-04-22,2024-04-28 00:00:00.000000,7,90,100.0,100.0,146.16666666666666,757
18,2024-04-29,2024-05-05 00:00:00.000000,7,90,100.0,100.0,101.58333333333333,757
19,2024-05-06,2024-05-12 00:00:00.000000,7,150,100.0,100.0,203.2,757
20,2024-05-13,2024-05-19 00:00:00.000000,7,250,20.826666666666668,57.851851851851855,52.06666666666667,757
21,2024-05-20,2024-05-26 00:00:00.000000,7,250,66.99333333333333,100.0,167.48333333333332,757
22,2024-05-27,2024-06-02 00:00:00.000000,7,250,81.14,100.0,202.85,757
23,2024-06-03,2024-06-09 00:00:00.000000,7,275,22.193939393939395,67.81481481481481,61.03333333333333,757
24,2024-06-10,2024-06-16 00:00:00.000000,7,275,52.74545454545455,100.0,145.05,757
25,2024-06-17,2024-06-23 00:00:00.000000,7,275,30.096969696969694,91.96296296296296,82.76666666666667,757
26,2024-06-24,2024-06-30 00:00:00.000000,7,275,37.64848484848485,100.0,103.53333333333333,757
27,2024-07-01,2024-07-07 00:00:00.000000,7,275,84.61818181818181,100.0,232.7,757
28,2024-07-08,2024-07-14 00:00:00.000000,7,275,81.0909090909091,100.0,223.0,757
29,2024-07-15,2024-07-21 00:00:00.000000,7,275,23.03030303030303,70.37037037037037,63.333333333333336,757
